<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;29.10.2018;13:33;111210,0000000;111250,0000000;111200,0000000;111230,0000000;211
SPFB.RTS-12.18;1;29.10.2018;13:34;111240,0000000;111310,0000000;111220,0000000;111240,0000000;630
SPFB.RTS-12.18;1;29.10.2018;13:35;111250,0000000;111270,0000000;111230,0000000;111240,0000000;264
SPFB.RTS-12.18;1;29.10.2018;13:36;111230,0000000;111260,0000000;111190,0000000;111200,0000000;369
SPFB.RTS-12.18;1;29.10.2018;13:37;111200,0000000;111210,0000000;111140,0000000;111140,0000000;335
SPFB.RTS-12.18;1;29.10.2018;13:38;111150,0000000;111220,0000000;111150,0000000;111190,0000000;280
SPFB.RTS-12.18;1;29.10.2018;13:39;111190,0000000;111220,0000000;111140,0000000;111160,0000000;361
SPFB.RTS-12.18;1;29.10.2018;13:40;111180,0000000;111200,0000000;111170,0000000;111190,0000000;170
SPFB.RTS-12.18;1;29.10.2018;13:41;111190,0000000;111240,0000000;111190,0000000;111210,0000000;330
SPFB.RTS-12.18;1;29.10.2018;13:42;111210,0000000;111240,0000000;111200,0000000;111210,0000000;201
SPFB.RTS-12.18;1;29.10.2018;13:43;111210,0000000;111240,0000000;111190,0000000;111200,0000000;179
SPFB.RTS-12.18;1;29.10.2018;13:44;111200,0000000;111270,0000000;111200,0000000;111230,0000000;393
SPFB.RTS-12.18;1;29.10.2018;13:45;111220,0000000;111260,0000000;111210,0000000;111250,0000000;265
SPFB.RTS-12.18;1;29.10.2018;13:46;111260,0000000;111290,0000000;111210,0000000;111210,0000000;389
SPFB.RTS-12.18;1;29.10.2018;13:47;111200,0000000;111230,0000000;111190,0000000;111220,0000000;199
SPFB.RTS-12.18;1;29.10.2018;13:48;111240,0000000;111410,0000000;111180,0000000;111400,0000000;1402
SPFB.RTS-12.18;1;29.10.2018;13:49;111380,0000000;111400,0000000;111320,0000000;111340,0000000;601
SPFB.RTS-12.18;1;29.10.2018;13:50;111340,0000000;111360,0000000;111320,0000000;111340,0000000;333
SPFB.RTS-12.18;1;29.10.2018;13:51;111330,0000000;111360,0000000;111310,0000000;111330,0000000;226
SPFB.RTS-12.18;1;29.10.2018;13:52;111330,0000000;111330,0000000;111270,0000000;111270,0000000;246
SPFB.RTS-12.18;1;29.10.2018;13:53;111270,0000000;111320,0000000;111250,0000000;111280,0000000;412
SPFB.RTS-12.18;1;29.10.2018;13:54;111270,0000000;111300,0000000;111260,0000000;111270,0000000;190
SPFB.RTS-12.18;1;29.10.2018;13:55;111270,0000000;111280,0000000;111250,0000000;111270,0000000;145
SPFB.RTS-12.18;1;29.10.2018;13:56;111280,0000000;111330,0000000;111280,0000000;111300,0000000;369
SPFB.RTS-12.18;1;29.10.2018;13:57;111300,0000000;111300,0000000;111230,0000000;111240,0000000;377
SPFB.RTS-12.18;1;29.10.2018;13:58;111240,0000000;111250,0000000;111220,0000000;111220,0000000;182
SPFB.RTS-12.18;1;29.10.2018;13:59;111230,0000000;111250,0000000;111200,0000000;111230,0000000;267
SPFB.RTS-12.18;1;29.10.2018;14:00;111240,0000000;111290,0000000;111220,0000000;111250,0000000;322
SPFB.RTS-12.18;1;29.10.2018;14:06;111240,0000000;111310,0000000;111160,0000000;111190,0000000;1003
SPFB.RTS-12.18;1;29.10.2018;14:07;111190,0000000;111220,0000000;111140,0000000;111160,0000000;639
SPFB.RTS-12.18;1;29.10.2018;14:08;111170,0000000;111270,0000000;111170,0000000;111220,0000000;1109
SPFB.RTS-12.18;1;29.10.2018;14:09;111210,0000000;111300,0000000;111190,0000000;111290,0000000;1034
SPFB.RTS-12.18;1;29.10.2018;14:10;111290,0000000;111320,0000000;111270,0000000;111300,0000000;450
SPFB.RTS-12.18;1;29.10.2018;14:11;111310,0000000;111330,0000000;111270,0000000;111280,0000000;403
SPFB.RTS-12.18;1;29.10.2018;14:12;111270,0000000;111330,0000000;111270,0000000;111320,0000000;177
SPFB.RTS-12.18;1;29.10.2018;14:13;111320,0000000;111410,0000000;111310,0000000;111330,0000000;978
SPFB.RTS-12.18;1;29.10.2018;14:14;111330,0000000;111330,0000000;111280,0000000;111290,0000000;233
SPFB.RTS-12.18;1;29.10.2018;14:15;111290,0000000;111290,0000000;111240,0000000;111240,0000000;253
SPFB.RTS-12.18;1;29.10.2018;14:16;111240,0000000;111330,0000000;111240,0000000;111320,0000000;664
SPFB.RTS-12.18;1;29.10.2018;14:17;111310,0000000;111340,0000000;111270,0000000;111280,0000000;306
SPFB.RTS-12.18;1;29.10.2018;14:18;111300,0000000;111300,0000000;111250,0000000;111280,0000000;102
SPFB.RTS-12.18;1;29.10.2018;14:19;111280,0000000;111280,0000000;111260,0000000;111270,0000000;60
SPFB.RTS-12.18;1;29.10.2018;14:20;111270,0000000;111410,0000000;111270,0000000;111300,0000000;854
SPFB.RTS-12.18;1;29.10.2018;14:21;111310,0000000;111430,0000000;111300,0000000;111350,0000000;1486
SPFB.RTS-12.18;1;29.10.2018;14:22;111350,0000000;111400,0000000;111330,0000000;111330,0000000;311
